name, order, ra, dec, slopes[0], slopes[1],  slopes_sigma[0], slopes_sigma[1], change_point, change_point_sigma, log_marginal_likelihood
Source_RA:5d36m41.91198s_DEC:-25d20m02.73347649s, 1, 5.611642216665938, -25.334092632358384, -0.937999198985249, 0.42756921909518075, 0.5630370602490997, 1.1752968033514923, [1.3460921086564108], [0.17259323185059258], 61.57237888540482
Source_RA:5d34m37.04537808s_DEC:-25d42m03.34633353s, 1, 5.576957049466957, -25.700929537091774, -0.7039619693384839, -0.33656959193133085, 0.44691296387017, 1.0903471036258137, [1.3397280262749283], [0.24524854922349276], 70.59586656593183
Source_RA:5d34m31.21681022s_DEC:-25d27m25.61262103s, 1, 5.575338002838383, -25.45711461695224, 0.012210767436207937, 0.7015180718096661, 0.1535946737161788, 1.1517442203192918, [1.4906258115375064], [0.15545158850249483], 70.58746917676396
Source_RA:5d33m31.82613356s_DEC:-25d24m28.99983273s, 1, 5.558840592654545, -25.408055509090357, -0.4719073089933529, 0.9946143674995289, 0.05778163540692226, 0.9896431732083, [1.5455277712388091], [0.06342392263809286], 69.99990007106437
Source_RA:5d32m34.70942076s_DEC:-25d41m59.64793637s, 1, 5.542974839101355, -25.69990220454605, -1.4304876395484654, -0.6405398114113919, 0.13232085374967473, 0.6550849951592655, [1.4396857052882401], [0.11934372653722657], 72.89435868710518
Source_RA:5d32m27.39780469s_DEC:-25d39m07.5672388s, 1, 5.540943834637113, -25.652102010779153, -1.3331340043397821, 0.11444696411767696, 0.18525532798557431, 1.3932738487845333, [1.4950637820145358], [0.10973853043455528], 69.80219596543937
Source_RA:5d32m21.21330006s_DEC:-25d50m34.85888792s, 1, 5.539225916684157, -25.843016357755054, -0.8997816961873365, -0.9094203534452743, 0.4247576017599484, 1.1270167235875639, [1.3295041176465234], [0.22673896462521623], 70.50083577426514
Source_RA:5d32m11.08120639s_DEC:-25d33m44.80748469s, 1, 5.536411446219999, -25.562446523525036, -0.8722780443545906, -0.3427561181366649, 0.08189677262168477, 0.955340977707004, [1.5063612515524032], [0.12899106663018925], 72.30018835619656
Source_RA:5d31m55.2379606s_DEC:-25d07m32.44189402s, 1, 5.532010544610637, -25.12567830389524, -0.8935424118973709, 0.14744656892769203, 0.6747899373541862, 1.3182973644905736, [1.3676310359391697], [0.2101211132609253], 63.4741854911648
Source_RA:5d29m57.19774591s_DEC:-25d47m19.33475809s, 1, 5.4992215960874535, -25.788704099469136, -0.8755795723383146, -0.893901293279274, 0.39996650546937257, 0.8886221094491488, [1.247193258361242], [0.25762568947175607], 72.04011711240574
Source_RA:5d29m27.56728827s_DEC:-25d15m15.24907641s, 1, 5.490990913408063, -25.254235854558303, 0.28605416627612207, 1.3034424038586565, 0.17425134088068467, 1.2088294848643404, [1.4841276923473297], [0.1543223482458676], 67.84601904380825
